RecipientName,country_code,country_type,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Bolivia,BOL,LMICs,37126587467.0,11,Hydro-energy,Mitigation,1,0.0442331,0.0442331
Bolivia,BOL,LMICs,37126587467.0,12,Energy-efficiency,Mitigation,4,0.16883489999999998,0.16883489999999998
Bolivia,BOL,LMICs,37126587467.0,13,Wind-energy,Mitigation,11,37.0588511,37.0588511
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,0,Adaptation,Adaptation,22,2.95550292,2.95550292
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,1,Solar-energy,Mitigation,13,1.1380778499999997,1.1380778499999997
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,2,Bioenergy,Mitigation,10,0.8445984,0.8445984
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,3,Other-mitigation-projects,Mitigation,13,13.1352661,13.1352661
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,4,Biodiversity,Environment,1,0.0,0.0
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,5,Geothermal-energy,Mitigation,8,0.47574278000000003,0.47574278000000003
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,6,Nature_conservation,Environment,13,1.7248283999999998,0.0
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,7,Other-environment-projects,Environment,52,22.9318959,0.0
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,8,Sustainable-land-use,Environment,14,0.46674376599999995,0.0
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,10,Renewables-multiple,Mitigation,21,9.09127095,9.09127095
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,11,Hydro-energy,Mitigation,4,0.4160241,0.4160241
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,12,Energy-efficiency,Mitigation,20,10.778721,10.778721
Bosnia and Herzegovina,BIH,UMICs,18287267400.0,13,Wind-energy,Mitigation,8,80.2493436,80.2493436
Botswana,BWA,UMICs,16895247027.0,0,Adaptation,Adaptation,4,0.11672759999999989,0.11672759999999989
Botswana,BWA,UMICs,16895247027.0,1,Solar-energy,Mitigation,4,0.09901259999999971,0.09901259999999971
Botswana,BWA,UMICs,16895247027.0,2,Bioenergy,Mitigation,1,0.170031,0.170031
Botswana,BWA,UMICs,16895247027.0,4,Biodiversity,Environment,6,0.041089999999999995,0.0
Botswana,BWA,UMICs,16895247027.0,6,Nature_conservation,Environment,1,0.100545,0.0
Botswana,BWA,UMICs,16895247027.0,7,Other-environment-projects,Environment,2,0.022916810000000003,0.0
Botswana,BWA,UMICs,16895247027.0,8,Sustainable-land-use,Environment,2,0.1269389999999999,0.0
Botswana,BWA,UMICs,16895247027.0,10,Renewables-multiple,Mitigation,4,0.03531802,0.03531802
Brazil,BRA,UMICs,1877200000000.0,0,Adaptation,Adaptation,152,24.019664771,24.019664771
