RecipientName,country_type,country_code,gdp,Mitigation_funding,effective_funding,perc_Mitigation
Grenada,Small Island Developing States,GRD,1116238200.0,2.1522727999999995,6.16752927,0.015358027495073747
Guatemala,LMICs,GTM,69936159619.0,30.203798028,130.18874130999998,0.21552600607584613
Guinea,LDCs,GIN,10706424125.0,1.5664176899999998,16.547578055000002,0.011177526358085233
Guinea-Bissau,Small Island Developing States,GNB,1274280002.0,1.73037,5.4004901929999996,0.012347445006344345
Guyana,Small Island Developing States,GUY,3683111326.0,49.667342,63.091418467,0.3544125094380374
Haiti,Small Island Developing States,HTI,8652501130.0,26.17568231,139.62093536380002,0.18678247879139465
Honduras,LMICs,HND,22990641459.0,80.532715308,215.744796108,0.574659334984492
India,LMICs,IND,2527890000000.0,2063.673923595,4515.9995331138,14.725810250187028
Indonesia,LMICs,IDN,993956000000.0,1033.40470144,1553.257249244,7.374092084541514
Iran,UMICs,IRN,416093000000.0,4.39482004,16.454733794,0.031360228596589206
Iraq,UMICs,IRQ,201235000000.0,524.029057,556.300804643,3.739327405719
Jamaica,Small Island Developing States,JAM,15048382267.0,58.11553586,71.98586566,0.4146965001968266
Jordan,LMICs,JOR,40784805634.0,271.91853679999997,622.242901419,1.9403359855658737
Kazakhstan,UMICs,KAZ,169595000000.0,9.746097948,18.926478877999998,0.06954547781074306
Kenya,LMICs,KEN,79088636338.0,415.28692521139993,785.2389468263999,2.963373423546177
Kiribati,Small Island Developing States,KIR,185621610.8,1.9565916999999995,7.134482429999999,0.01396170091692516
Kosovo,LMICs,XKX,7255373020.0,15.667920120000002,43.54076073739999,0.11180197417055089
Kyrgyzstan,LMICs,KGZ,7583986690.0,16.60533971,45.199422333,0.11849114286591363
Lao People's Democratic Republic,LDCs,LAO,16635369576.0,52.19631039,120.58087792,0.37245853318920524
Lebanon,UMICs,LBN,52522690724.0,10.77499829,39.084023805,0.07688742802361885
Lesotho,LDCs,LSO,2395788510.0,0.5042001599999998,11.994809660000001,0.0035978338435074682
Liberia,LDCs,LBR,3214959820.0,68.45695359999999,164.88781790999997,0.48849001651546575
Libya,UMICs,LBY,39321331613.0,0.0,4.9053567000000005,0.0
Madagascar,LDCs,MDG,12857058469.0,30.50348807,159.717430005,0.21766451189399136
Malawi,LDCs,MWI,6538710280.0,207.34996968000002,439.208584571,1.4795924268745806
Malaysia,UMICs,MYS,328970000000.0,5.7788713729999985,24.275500233,0.04123643872516001
Maldives,Small Island Developing States,MDV,4856251371.0,2.8608431999999993,6.22416185,0.020414191232958366
Mali,LDCs,MLI,15436528478.0,11.27007631,208.029113014,0.08042016878183812
Marshall Islands,Small Island Developing States,MHL,204829250.0,5.7431548,9.3251268,0.040981575071182795
Mauritania,LDCs,MRT,6793383017.0,15.9987665,65.50091323,0.11416280305835991
Mauritius,Small Island Developing States,MUS,13109270082.0,34.3758442,45.59486401,0.24529658154392486
Mexico,UMICs,MEX,1177040000000.0,998.1007610838001,1212.2071194619,7.122172863764778
Micronesia,Small Island Developing States,FSM,354338550.0,2.6579170000000003,6.98572805,0.018966165611359276
Moldova,LMICs,MDA,9779863582.0,9.109082159999998,20.745789750999997,0.06499990812882352
Mongolia,LMICs,MNG,12264746066.0,91.834913241,207.67014395999996,0.6553087148446007
Montenegro,UMICs,MNE,4857976293.0,35.6312359,37.016910859,0.25425471187279736
Montserrat,UMICs,MSR,67000000.0,8.986631724,10.963451253999999,0.06412613545331894
Morocco,LMICs,MAR,110170000000.0,966.83951749,1214.8367024192,6.899101216600078
Mozambique,LDCs,MOZ,14151687139.0,61.97702472380001,442.1324744208,0.4422510240202757
Myanmar,LDCs,MMR,71241354706.0,40.03456904,187.43447536477998,0.2856756876125314
Namibia,UMICs,NAM,12100052698.0,54.825252629999994,112.82062135199999,0.39121794287225314
Nauru,Small Island Developing States,NRU,107739476.1,25.0931717,26.054751,0.17905798043222332
Nepal,LDCs,NPL,25518448233.0,98.290208383,362.44239441962,0.7013719277791564
Nicaragua,LMICs,NIC,13082697368.0,84.3163103069,134.34242872032,0.6016580295846049
Niger,LDCs,NER,11374635240.0,1.7593707869999997,92.32919985699999,0.012554386656178314
Nigeria,LMICs,NGA,424252000000.0,83.05107179000001,150.859687334358,0.5926296350751467
Niue,UMICs,NIU,24000000.0,3.6621185,4.6025562,0.026131871672224007
North Macedonia,UMICs,MKD,11473544774.0,1.9833035999999995,22.580900371999995,0.014152309697859277
Pakistan,LMICs,PAK,289314000000.0,368.720155622,560.0826651906,2.631085747136956
Palau,UMICs,PLW,287704600.0,1.0558126,3.4283453,0.00753398869346177
