DonorName,country_code,gdp,climate_class_number,climate_class,meta_category,no_projects,effective_funding,climate_funding
Latvia,LVA,30705648646.0,3,Other-mitigation-projects,Mitigation,1,0.00368297,0.00368297
Latvia,LVA,30705648646.0,7,Other-environment-projects,Environment,3,0.05576546,0.0
Latvia,LVA,30705648646.0,8,Sustainable-land-use,Environment,5,0.04429567,0.0
Lithuania,LTU,47967952561.0,0,Adaptation,Adaptation,3,0.052904724,0.052904724
Lithuania,LTU,47967952561.0,1,Solar-energy,Mitigation,8,0.74884149,0.74884149
Lithuania,LTU,47967952561.0,3,Other-mitigation-projects,Mitigation,3,0.12417829,0.12417829
Lithuania,LTU,47967952561.0,4,Biodiversity,Environment,2,0.01682642,0.0
Lithuania,LTU,47967952561.0,5,Geothermal-energy,Mitigation,1,0.00651222,0.00651222
Lithuania,LTU,47967952561.0,6,Nature_conservation,Environment,2,0.0335661999999999,0.0
Lithuania,LTU,47967952561.0,7,Other-environment-projects,Environment,29,0.14784589739999948,0.0
Lithuania,LTU,47967952561.0,8,Sustainable-land-use,Environment,17,0.1561472544999996,0.0
Lithuania,LTU,47967952561.0,10,Renewables-multiple,Mitigation,9,0.49321437399999957,0.49321437399999957
Lithuania,LTU,47967952561.0,11,Hydro-energy,Mitigation,2,0.0422861999999999,0.0422861999999999
Lithuania,LTU,47967952561.0,12,Energy-efficiency,Mitigation,4,0.2072023999999999,0.2072023999999999
Luxembourg,LUX,64928552649.0,0,Adaptation,Adaptation,31,9.7267205,9.7267205
Luxembourg,LUX,64928552649.0,1,Solar-energy,Mitigation,8,0.2948253999999998,0.2948253999999998
Luxembourg,LUX,64928552649.0,2,Bioenergy,Mitigation,4,0.9105675,0.9105675
Luxembourg,LUX,64928552649.0,3,Other-mitigation-projects,Mitigation,5,0.8609447,0.8609447
Luxembourg,LUX,64928552649.0,4,Biodiversity,Environment,2,0.0660991,0.0
Luxembourg,LUX,64928552649.0,6,Nature_conservation,Environment,32,4.287047649999999,0.0
Luxembourg,LUX,64928552649.0,7,Other-environment-projects,Environment,24,1.9088818499999995,0.0
Luxembourg,LUX,64928552649.0,8,Sustainable-land-use,Environment,172,38.520533275999995,0.0
Luxembourg,LUX,64928552649.0,10,Renewables-multiple,Mitigation,21,5.6144437400000005,5.6144437400000005
Luxembourg,LUX,64928552649.0,13,Wind-energy,Mitigation,2,0.035661,0.035661
Netherlands,NLD,841168000000.0,0,Adaptation,Adaptation,65,164.6956201332767,164.6956201332767
Netherlands,NLD,841168000000.0,1,Solar-energy,Mitigation,16,24.02961865,24.02961865
Netherlands,NLD,841168000000.0,2,Bioenergy,Mitigation,25,48.0695074,48.0695074
Netherlands,NLD,841168000000.0,3,Other-mitigation-projects,Mitigation,66,65.5519267,65.5519267
Netherlands,NLD,841168000000.0,4,Biodiversity,Environment,11,11.3101523,0.0
Netherlands,NLD,841168000000.0,5,Geothermal-energy,Mitigation,5,6.510203,6.510203
Netherlands,NLD,841168000000.0,6,Nature_conservation,Environment,56,69.84317409,0.0
Netherlands,NLD,841168000000.0,7,Other-environment-projects,Environment,28,20.7883111,0.0
Netherlands,NLD,841168000000.0,8,Sustainable-land-use,Environment,123,316.89957167,0.0
Netherlands,NLD,841168000000.0,10,Renewables-multiple,Mitigation,48,140.49694080999998,140.49694080999998
Netherlands,NLD,841168000000.0,11,Hydro-energy,Mitigation,5,7.845512900000001,7.845512900000001
Netherlands,NLD,841168000000.0,12,Energy-efficiency,Mitigation,1,0.0288723,0.0288723
Netherlands,NLD,841168000000.0,13,Wind-energy,Mitigation,1,13.2679,13.2679
New Zealand,NZL,197192000000.0,0,Adaptation,Adaptation,67,24.328155969999997,24.328155969999997
New Zealand,NZL,197192000000.0,1,Solar-energy,Mitigation,20,10.7073684,10.7073684
New Zealand,NZL,197192000000.0,2,Bioenergy,Mitigation,1,0.0620919,0.0620919
New Zealand,NZL,197192000000.0,3,Other-mitigation-projects,Mitigation,6,1.41101,1.41101
New Zealand,NZL,197192000000.0,4,Biodiversity,Environment,16,2.4674446999999997,0.0
New Zealand,NZL,197192000000.0,5,Geothermal-energy,Mitigation,53,22.3376846569,22.3376846569
New Zealand,NZL,197192000000.0,6,Nature_conservation,Environment,14,2.06942791,0.0
New Zealand,NZL,197192000000.0,7,Other-environment-projects,Environment,23,8.20188624,0.0
New Zealand,NZL,197192000000.0,8,Sustainable-land-use,Environment,33,5.03930423,0.0
New Zealand,NZL,197192000000.0,10,Renewables-multiple,Mitigation,83,73.24211706,73.24211706
New Zealand,NZL,197192000000.0,11,Hydro-energy,Mitigation,3,0.6211622,0.6211622
New Zealand,NZL,197192000000.0,12,Energy-efficiency,Mitigation,3,5.992392000000001,5.992392000000001
New Zealand,NZL,197192000000.0,13,Wind-energy,Mitigation,3,0.608203,0.608203
Norway,NOR,398104000000.0,0,Adaptation,Adaptation,945,625.919458564,625.919458564
Norway,NOR,398104000000.0,1,Solar-energy,Mitigation,138,47.536322850000005,47.536322850000005
Norway,NOR,398104000000.0,2,Bioenergy,Mitigation,90,14.705769920000002,14.705769920000002
Norway,NOR,398104000000.0,3,Other-mitigation-projects,Mitigation,715,1981.16080502983,1981.16080502983
Norway,NOR,398104000000.0,4,Biodiversity,Environment,211,141.04653557999998,0.0
Norway,NOR,398104000000.0,5,Geothermal-energy,Mitigation,8,1.1354022999999998,1.1354022999999998
Norway,NOR,398104000000.0,6,Nature_conservation,Environment,590,771.5946079400001,0.0
Norway,NOR,398104000000.0,7,Other-environment-projects,Environment,522,165.617524806,0.0
Norway,NOR,398104000000.0,8,Sustainable-land-use,Environment,650,503.19902849,0.0
Norway,NOR,398104000000.0,10,Renewables-multiple,Mitigation,327,251.393784549745,251.393784549745
Norway,NOR,398104000000.0,11,Hydro-energy,Mitigation,172,109.0850337,109.0850337
Norway,NOR,398104000000.0,12,Energy-efficiency,Mitigation,61,27.865105120000003,27.865105120000003
Norway,NOR,398104000000.0,13,Wind-energy,Mitigation,11,4.0415958,4.0415958
Poland,POL,531055000000.0,0,Adaptation,Adaptation,20,1.1529075299999996,1.1529075299999996
